,ccd,qid,rcid,field
254731.0,4,1,12,1228
254731.0,9,1,32,187
254732.0,1,1,0,1323
254732.0,4,2,13,1324
254732.0,9,2,33,281
254733.0,8,1,28,1229
254733.0,13,1,48,188
254734.0,1,4,3,185
254734.0,4,3,14,186
254734.0,9,3,34,1183
254735.0,14,3,54,187
254736.0,2,3,6,1323
254736.0,11,4,43,281
254736.0,16,1,60,1274
254737.0,8,4,31,1274
254737.0,16,3,62,233
254738.0,8,4,31,233
254738.0,13,4,51,1227
254738.0,16,3,62,1228
254739.0,5,3,18,232
254739.0,14,4,55,1227
254740.0,3,4,11,1274
254740.0,7,2,25,233
254740.0,16,2,61,1228
254741.0,7,1,24,281
254741.0,15,2,57,1274
254742.0,2,3,6,282
254742.0,11,4,43,1275
254742.0,16,1,60,234
254743.0,16,1,60,1228
254744.0,7,2,25,282
254744.0,16,1,60,1275
254745.0,5,4,19,1375
254745.0,14,4,55,332
254746.0,7,4,27,1275
254746.0,12,1,44,234
254747.0,7,3,26,333
254747.0,16,4,63,1325
254748.0,10,2,37,332
254749.0,10,1,36,233
254750.0,8,3,30,332
254750.0,13,3,50,1323
254751.0,2,2,5,282
254751.0,11,3,42,1275
254752.0,2,3,6,1323
254752.0,11,4,43,281
254753.0,2,2,5,1274
254753.0,11,1,40,233
254754.0,6,1,20,1429
254755.0,2,1,4,381
254755.0,11,1,40,1374
254756.0,3,4,11,806
254756.0,15,1,56,773
254757.0,5,2,17,1324
254757.0,14,1,52,282
254758.0,1,1,0,1273
254758.0,4,2,13,1274
254758.0,9,3,34,232
254759.0,8,1,28,282
254759.0,13,1,48,1274
254760.0,3,1,8,1481
254760.0,12,1,44,436
254761.0,5,1,16,281
254761.0,14,4,55,1274
254762.0,5,1,16,232
254763.0,9,1,32,1805
254763.0,12,2,45,1806
254764.0,6,3,22,145
254764.0,14,3,54,1143
254765.0,5,2,17,1274
254765.0,14,1,52,233
254766.0,5,4,19,1274
254766.0,14,4,55,233
254767.0,2,1,4,234
254767.0,11,1,40,1229
254768.0,3,1,8,281
254768.0,12,4,47,1274
254769.0,8,4,31,187
254769.0,13,3,50,1184
254770.0,3,4,11,105
254770.0,10,3,38,1106
254771.0,5,1,16,281
